date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-31,100907.6961067959,1038.6929723793412,2040.1615802496099,326,141,131,102,298,246,76,0,0,0
2020-04-01,99958.5007477179,1090.9662211716118,2311.731024694054,370,162,167,154,333,209,82,0,0,0
2020-04-02,98771.19427752879,1124.4245545049453,2042.2548342178638,335,152,113,132,323,245,60,1,0,0
2020-04-03,97995.51776765715,1095.578324346215,1912.185137248167,379,136,101,120,259,264,57,3,0,0
2020-04-04,97072.25640930065,988.9237788916696,855.296248359278,252,63,31,44,70,51,11,0,0,0
2020-04-05,97075.21727316637,858.2571122250029,849.9295816926114,225,67,30,31,58,66,22,1,0,0
2020-04-06,96999.91147036543,774.6237788916695,1812.0893039148336,279,275,168,81,190,225,47,6,0,0
2020-04-07,96185.25844534226,997.4362788916695,1776.7004150259447,303,145,150,100,190,231,67,6,0,0
2020-04-08,95435.99430920799,1027.4362788916696,1680.8515126687118,370,125,120,87,161,210,71,10,0,0
2020-04-09,94804.22864797541,1049.085851436126,1936.9225804939645,303,155,90,117,195,227,82,5,0,0
2020-04-10,94146.90455978787,1279.598492306431,1511.3061580275419,335,128,71,67,130,160,46,6,0,0
2020-04-11,93901.53508087994,1265.9366791196178,684.5555417456757,267,78,25,23,30,47,15,3,0,0
2020-04-12,94170.53590319857,953.5563640643028,713.8714508365848,266,112,24,20,24,48,10,4,0,0
2020-04-13,94304.0814224869,847.4169701249089,1872.1657043473017,330,359,178,92,130,201,87,12,0,0
2020-04-14,93449.99347909969,1018.0777609600899,1710.9497952563927,364,152,149,102,135,240,83,14,0,0
2020-04-15,92826.67902056096,1087.6353367176657,1636.108128589726,347,140,119,95,129,213,76,13,0,0
2020-04-16,92311.68956202223,1121.118670050999,1647.7025730341704,389,187,94,76,122,218,72,18,0,0
2020-04-17,91803.93482570573,1139.9478367176657,1586.3553508119483,420,136,92,68,111,231,58,10,0,0
2020-04-18,91420.30508938922,1202.7256144954436,732.9442397008371,309,52,37,30,22,64,18,2,0,0
2020-04-19,91677.88785307272,990.5270033843324,781.3609063675037,270,96,24,28,19,67,23,2,0,0
2020-04-20,91811.26228342288,914.7353367176656,1697.1162795978769,360,336,146,90,99,161,72,16,0,0
2020-04-21,91354.62432638566,1240.4783225606516,1617.908614224035,425,150,143,99,93,189,79,13,0,0
2020-04-22,90995.6692474997,1258.9535353380702,1509.7894944549153,410,152,132,96,88,155,80,17,0,0
2020-04-23,90754.12491897447,1188.2451659297008,1508.407171222592,407,153,110,84,100,155,90,21,0,0
2020-04-24,90525.31460920828,1279.5968614563963,1579.7614009750555,475,179,103,88,80,169,81,24,0,0
2020-04-25,90365.68385964396,1420.1306514107341,773.470909522064,361,80,39,31,26,66,22,5,0,0
2020-04-26,90742.63206307108,1150.4191129491958,798.4300004311549,318,99,29,28,25,35,30,10,0,0
2020-04-27,90929.6181452861,985.4160826461654,1785.3971582733127,380,426,142,97,113,125,92,25,0,0
2020-04-28,90410.52520097209,1266.3042139592967,1602.736202562357,382,174,160,99,97,129,74,28,0,0
2020-04-29,90217.7565823324,1409.9675839226668,1751.8637049564254,423,157,128,124,101,130,82,20,0,0
2020-04-30,89784.4647016633,1318.5718242873256,1679.0303716230922,408,225,97,138,104,140,87,22,0,0
